Address: 0x8972b4d6, Set: 0x0, Miss, Tag: 0x225cad3
Address: 0x63f24379, Set: 0x0, Miss, Tag: 0x18fc90d
Address: 0x8242e0a5, Set: 0x0, Miss, Tag: 0x2090b82
Address: 0x9730c938, Set: 0x0, Miss, Tag: 0x25cc324
Address: 0xd2ba7096, Set: 0x0, Miss, Tag: 0x34ae9c2
Address: 0x17477e40, Set: 0x0, Miss, Tag: 0x05d1df9
Address: 0xadfa5379, Set: 0x0, Miss, Tag: 0x2b7e94d
Address: 0x474baf60, Set: 0x0, Miss, Tag: 0x11d2ebd
Address: 0x82ec6451, Set: 0x0, Miss, Tag: 0x20bb191
Address: 0x208d6d91, Set: 0x0, Miss, Tag: 0x08235b6
Address: 0xc366ea09, Set: 0x0, Miss, Tag: 0x30d9ba8
Address: 0xf52c327a, Set: 0x0, Miss, Tag: 0x3d4b0c9
Address: 0xd2ba7096, Set: 0x0, Hit, Tag: 0x34ae9c2
Address: 0xc366ea09, Set: 0x0, Hit, Tag: 0x30d9ba8
Address: 0x2837c8bb, Set: 0x0, Miss, Tag: 0x0a0df22
Address: 0x4fa581b4, Set: 0x0, Miss, Tag: 0x13e9606
Address: 0x2837c8bb, Set: 0x0, Hit, Tag: 0x0a0df22
Address: 0x4e294968, Set: 0x0, Miss, Tag: 0x138a525
Address: 0x660c82dd, Set: 0x0, Miss, Tag: 0x198320b
Address: 0xb50ca79a, Set: 0x0, Miss, Tag: 0x2d4329e
Address: 0xb41f101a, Set: 0x0, Miss, Tag: 0x2d07c40
Address: 0x4fa581b4, Set: 0x0, Hit, Tag: 0x13e9606
Address: 0xf0eee887, Set: 0x0, Miss, Tag: 0x3c3bba2
Address: 0xbe2e702e, Set: 0x0, Miss, Tag: 0x2f8b9c0
Address: 0xfba41141, Set: 0x0, Miss, Tag: 0x3ee9045
Address: 0xaa75b084, Set: 0x0, Miss, Tag: 0x2a9d6c2
Address: 0x7c25e258, Set: 0x0, Miss, Tag: 0x1f09789
